SKU ID,2020_COGS,current inventory value,turn over ratio,turn over days,turn over ratio share %,Cumulative turn over ratio %,ABC,Rank
1265CA,517500.0,621000.0,0.83,440,0.26,87.92000000000002,B [Medium],71
3556AA,503160.0,282287.0,1.78,205,0.25,88.17000000000002,B [Medium],72
2291AA,494801.0,47077.0,10.51,35,0.24,88.41000000000001,B [Medium],73
1145BA,463694.0,154906.0,2.99,122,0.23,88.64000000000001,B [Medium],74
1366BA,456300.0,202800.0,2.25,162,0.23,88.87000000000002,B [Medium],75
3250CA,446408.0,14527.0,30.73,12,0.22,89.09000000000002,B [Medium],76
2988AA,444528.0,268569.0,1.66,220,0.22,89.31000000000002,B [Medium],77
2672BA,432250.0,1092000.0,0.4,912,0.21,89.52000000000001,B [Medium],78
2484BA,414394.0,334583.0,1.24,294,0.21,89.73,B [Medium],79
2021CA,406298.0,2324697.0,0.17,2147,0.2,89.93,B [Medium],80
1130AA,405701.0,235199.0,1.72,212,0.2,90.13000000000001,C [Less],81
2078CA,402009.0,381683.0,1.05,348,0.2,90.33000000000001,C [Less],82
1403CA,387969.0,25500.0,15.21,24,0.19,90.52000000000001,C [Less],83
1214CA,375791.0,785253.0,0.48,760,0.19,90.71000000000001,C [Less],84
1907AA,370576.0,198523.0,1.87,195,0.18,90.89000000000001,C [Less],85
3177CA,364910.0,817575.0,0.45,811,0.18,91.07000000000002,C [Less],86
3193AA,364800.0,978975.0,0.37,986,0.18,91.25000000000003,C [Less],87
1741BA,361163.0,30450.0,11.86,31,0.18,91.43000000000004,C [Less],88
2200CA,333312.0,31808.0,10.48,35,0.16,91.59000000000003,C [Less],89
2212AA,328111.0,88194.0,3.72,98,0.16,91.75000000000003,C [Less],90
2173CA,307898.0,151280.0,2.04,179,0.15,91.90000000000003,C [Less],91
2867AA,307159.0,78873.0,3.89,94,0.15,92.05000000000004,C [Less],92
2326CA,302987.0,386673.0,0.78,468,0.15,92.20000000000005,C [Less],93
1445BA,290670.0,59426.0,4.89,75,0.14,92.34000000000005,C [Less],94
3249CA,289295.0,27520.0,10.51,35,0.14,92.48000000000005,C [Less],95
2640BA,286675.0,1150254.0,0.25,1460,0.14,92.62000000000005,C [Less],96
2189CA,282416.0,192175.0,1.47,248,0.14,92.76000000000005,C [Less],97
2632AA,274642.0,496139.0,0.55,664,0.14,92.90000000000005,C [Less],98
2348BA,269080.0,1153200.0,0.23,1587,0.13,93.03000000000004,C [Less],99
3404CA,268854.0,34102.0,7.88,46,0.13,93.16000000000004,C [Less],100
3570CA,254040.0,482560.0,0.53,689,0.13,93.29000000000003,C [Less],101
1681CA,253882.0,20274.0,12.52,29,0.13,93.42000000000003,C [Less],102
3551CA,245645.0,70923.0,3.46,105,0.12,93.54000000000003,C [Less],103
3407CA,244222.0,4070.0,60.01,6,0.12,93.66000000000004,C [Less],104
2515BA,235710.0,732600.0,0.32,1141,0.12,93.78000000000004,C [Less],105
2513CA,230641.0,91296.0,2.53,144,0.11,93.89000000000004,C [Less],106
2255CA,229484.0,83916.0,2.73,134,0.11,94.00000000000004,C [Less],107
3084CA,227124.0,121872.0,1.86,196,0.11,94.11000000000004,C [Less],108
2814BA,225765.0,227179.0,0.99,369,0.11,94.22000000000004,C [Less],109
1479CA,222855.0,116825.0,1.91,191,0.11,94.33000000000004,C [Less],110
1317CA,220892.0,78539.0,2.81,130,0.11,94.44000000000004,C [Less],111
2994CA,220609.0,155724.0,1.42,257,0.11,94.55000000000004,C [Less],112
1382CA,193873.0,105526.0,1.84,198,0.1,94.65000000000003,C [Less],113
1497CA,191642.0,35042.0,5.47,67,0.09,94.74000000000004,C [Less],114
2953BA,188523.0,41585.0,4.53,81,0.09,94.83000000000004,C [Less],115
2662CA,187436.0,348670.0,0.54,676,0.09,94.92000000000004,C [Less],116
2606AA,185779.0,87786.0,2.12,172,0.09,95.01000000000005,C [Less],117
2139BA,182956.0,719629.0,0.25,1460,0.09,95.10000000000005,C [Less],118
2840AA,181112.0,94784.0,1.91,191,0.09,95.19000000000005,C [Less],119
3120BA,179581.0,182651.0,0.98,372,0.09,95.28000000000006,C [Less],120
1995AA,178716.0,91872.0,1.95,187,0.09,95.37000000000006,C [Less],121
2555CA,175402.0,187688.0,0.93,392,0.09,95.46000000000006,C [Less],122
1601AA,169905.0,12858.0,13.21,28,0.08,95.54000000000006,C [Less],123
2170BA,166634.0,113531.0,1.47,248,0.08,95.62000000000006,C [Less],124
1624CA,163857.0,27565.0,5.94,61,0.08,95.70000000000006,C [Less],125
1330CA,162000.0,48000.0,3.38,108,0.08,95.78000000000006,C [Less],126
1379CA,160779.0,132839.0,1.21,302,0.08,95.86000000000006,C [Less],127
2234AA,160734.0,128226.0,1.25,292,0.08,95.94000000000005,C [Less],128
2803BA,160086.0,204399.0,0.78,468,0.08,96.02000000000005,C [Less],129
2342CA,158108.0,143891.0,1.1,332,0.08,96.10000000000005,C [Less],130
1586CA,150163.0,278547.0,0.54,676,0.07,96.17000000000004,C [Less],131
3533CA,147202.0,53096.0,2.77,132,0.07,96.24000000000004,C [Less],132
2053BA,146757.0,139480.0,1.05,348,0.07,96.31000000000003,C [Less],133
